article_id,article_idx,ticker,t0,published_at,ma5_20_spread,atr_ratio,bb_pct_b,bb_width,rsi14,momentum10d,vol_ratio20,vol_spike_ratio,pub_hour,pub_weekday,entry_vs_prev_close,entry_vs_prev_low,ret_1d_pre,close_vs_ma20,gap_open_pct,sentiment_positive,sentiment_negative,sentiment_confidence,catalyst_bullish,catalyst_bearish,ret_1d,ret_1d_intra,ret_3d,ret_5d,ret_8d
02335366642075112,351,000520,2025-02-28,2025-02-28T09:05:45+09:00,-3.985676475167367,4.263416842606022,0.2559534548142248,17.097169135357376,41.90879053767238,-5.015432098765427,,1.2371229923597433,9.0,4.0,-0.01380991064175463,0.009143807148794592,-0.02610759493670889,-0.04172505059940834,-0.02924451665312755,0.0,0.0,0.9,0.0,0.0,1.543460601137281,1.543460601137281,1.7059301380990988,-3.8180341186027644,-1.8683996750609277
02335366642075112,369,000520,2025-02-28,2025-02-28T09:05:45+09:00,-3.985676475167367,4.263416842606022,0.2559534548142248,17.097169135357376,41.90879053767238,-5.015432098765427,,1.2371229923597433,9.0,4.0,-0.01380991064175463,0.009143807148794592,-0.02610759493670889,-0.04172505059940834,-0.02924451665312755,0.0,0.0,0.9,0.0,0.0,1.543460601137281,1.543460601137281,1.7059301380990988,-3.8180341186027644,-1.8683996750609277
02345206642075112,350,028300,2025-02-28,2025-02-28T09:07:00+09:00,6.447859898352826,5.42706528644739,1.015392051215525,25.76968185871301,64.53030390401881,24.49528936742935,,4.465424340378497,9.0,4.0,-0.018378378378378413,0.06323185011709609,0.09338061465721048,0.13281489192333606,-0.010810810810810811,0.0,0.0,0.9,0.0,0.0,-3.3513513513513504,-3.3513513513513504,-7.567567567567568,-13.729729729729733,-19.783783783783782
02050006642075112,352,028300,2025-02-28,2025-02-28T08:30:30+09:00,6.447859898352826,5.42706528644739,1.015392051215525,25.76968185871301,64.53030390401881,24.49528936742935,,4.465424340378497,8.0,4.0,-0.015135135135135092,0.06674473067915687,0.09338061465721048,0.13281489192333606,-0.010810810810810811,0.0,0.0,0.9,0.0,0.0,-3.3513513513513504,-3.3513513513513504,-7.567567567567568,-13.729729729729733,-19.783783783783782
01820406642075112,353,028300,2025-02-28,2025-02-28T07:56:21+09:00,6.447859898352826,5.42706528644739,1.015392051215525,25.76968185871301,64.53030390401881,24.49528936742935,,4.465424340378497,7.0,4.0,-0.015135135135135092,0.06674473067915687,0.09338061465721048,0.13281489192333606,-0.010810810810810811,0.0,0.0,0.9,0.0,0.0,-3.3513513513513504,-3.3513513513513504,-7.567567567567568,-13.729729729729733,-19.783783783783782
01804006642075112,354,028300,2025-02-28,2025-02-28T07:54:18+09:00,6.447859898352826,5.42706528644739,1.015392051215525,25.76968185871301,64.53030390401881,24.49528936742935,,4.465424340378497,7.0,4.0,-0.015135135135135092,0.06674473067915687,0.09338061465721048,0.13281489192333606,-0.010810810810810811,0.0,0.0,0.9,0.0,0.0,-3.3513513513513504,-3.3513513513513504,-7.567567567567568,-13.729729729729733,-19.783783783783782
02050006642075112,382,028300,2025-02-28,2025-02-28T08:30:30+09:00,6.447859898352826,5.42706528644739,1.015392051215525,25.76968185871301,64.53030390401881,24.49528936742935,,4.465424340378497,8.0,4.0,-0.015135135135135092,0.06674473067915687,0.09338061465721048,0.13281489192333606,-0.010810810810810811,0.0,0.0,0.9,0.0,0.0,-3.3513513513513504,-3.3513513513513504,-7.567567567567568,-13.729729729729733,-19.783783783783782
01266086642099712,355,067080,2025-03-03,2025-03-03T09:31:05+09:00,2.8188931837465825,5.856911171256049,0.6284808933272664,17.830977711866055,54.61274002417375,7.532210109018833,,0.7509347659831458,9.0,0.0,-0.032258064516129004,-0.032258064516129004,-0.03383793410507574,0.02290939945319126,0.0,1.0,0.0,0.9,1.0,0.0,-0.7373271889400956,-0.7373271889400956,-3.5944700460829537,44.88479262672811,36.40552995391706
01187366642099712,357,226950,2025-03-03,2025-03-03T09:00:11+09:00,37.187653111219994,14.312710731228734,0.8601888029313479,143.33721171147877,84.47143477572003,39.66745843230404,,0.7232604457667872,9.0,0.0,-0.028911564625850317,0.09177820267686432,0.055655296229802476,0.5162845870187474,-0.027210884353741527,0.0,0.0,0.9,0.0,0.0,-9.183673469387754,-9.183673469387754,-17.942176870748295,-25.0,-15.476190476190476
01705606642100040,361,065170,2025-03-04,2025-03-04T07:30:57+09:00,6.454107208558589,21.082206336840056,0.5634230177586659,99.29090929681145,53.78577520809517,11.415631951062611,,0.3537781028310581,7.0,1.0,0.11475409836065564,0.17748917748917759,0.29925452609158687,0.06297329103605764,0.14344262295081966,0.0,0.0,0.9,0.0,0.0,-24.30327868852459,-24.30327868852459,-30.28688524590164,-34.01639344262295,-18.97540983606557
01702326642100040,362,099190,2025-03-04,2025-03-04T07:30:28+09:00,-5.208969548904982,3.211633082476819,0.16777832375280227,21.912358124598324,30.080097381563547,-6.290417401528514,,1.2504085572133745,7.0,1.0,-0.01693851944792979,-0.011979823455233296,-0.02208588957055213,-0.07279760346682951,-0.014429109159347586,0.0,0.0,0.9,0.0,0.0,0.8782936010037545,0.8782936010037545,-1.129234629861986,-2.509410288582181,-2.1957340025094085
01702326642100040,364,099190,2025-03-04,2025-03-04T07:30:28+09:00,-5.208969548904982,3.211633082476819,0.16777832375280227,21.912358124598324,30.080097381563547,-6.290417401528514,,1.2504085572133745,7.0,1.0,-0.01693851944792979,-0.011979823455233296,-0.02208588957055213,-0.07279760346682951,-0.014429109159347586,0.0,0.0,0.9,0.0,0.0,0.8782936010037545,0.8782936010037545,-1.129234629861986,-2.509410288582181,-2.1957340025094085
01702326642100040,365,099190,2025-03-04,2025-03-04T07:30:28+09:00,-5.208969548904982,3.211633082476819,0.16777832375280227,21.912358124598324,30.080097381563547,-6.290417401528514,,1.2504085572133745,7.0,1.0,-0.01693851944792979,-0.011979823455233296,-0.02208588957055213,-0.07279760346682951,-0.014429109159347586,0.0,0.0,0.9,0.0,0.0,0.8782936010037545,0.8782936010037545,-1.129234629861986,-2.509410288582181,-2.1957340025094085
01702326642100040,366,099190,2025-03-04,2025-03-04T07:30:28+09:00,-5.208969548904982,3.211633082476819,0.16777832375280227,21.912358124598324,30.080097381563547,-6.290417401528514,,1.2504085572133745,7.0,1.0,-0.01693851944792979,-0.011979823455233296,-0.02208588957055213,-0.07279760346682951,-0.014429109159347586,0.0,0.0,0.9,0.0,0.0,0.8782936010037545,0.8782936010037545,-1.129234629861986,-2.509410288582181,-2.1957340025094085
02177926642100040,360,308430,2025-03-04,2025-03-04T08:38:40+09:00,0.35721000188005264,7.092803363692641,0.6772200761212787,23.79857209943674,46.08384610910799,13.904109589041092,,1.0856259214676296,8.0,1.0,0.03066746843054724,0.06525792417650722,0.004833836858006091,0.042175847590399274,0.007215874924834553,1.0,0.0,0.9,1.0,0.0,-0.541190619362597,-0.541190619362597,-4.930847865303667,-4.630186410102222,23.872519542994585
02177926642100040,475,308430,2025-03-04,2025-03-04T08:38:40+09:00,0.35721000188005264,7.092803363692641,0.6772200761212787,23.79857209943674,46.08384610910799,13.904109589041092,,1.0856259214676296,8.0,1.0,0.03066746843054724,0.06525792417650722,0.004833836858006091,0.042175847590399274,0.007215874924834553,1.0,0.0,0.9,1.0,0.0,-0.541190619362597,-0.541190619362597,-4.930847865303667,-4.630186410102222,23.872519542994585
02177926642100040,476,308430,2025-03-04,2025-03-04T08:38:40+09:00,0.35721000188005264,7.092803363692641,0.6772200761212787,23.79857209943674,46.08384610910799,13.904109589041092,,1.0856259214676296,8.0,1.0,0.03066746843054724,0.06525792417650722,0.004833836858006091,0.042175847590399274,0.007215874924834553,1.0,0.0,0.9,1.0,0.0,-0.541190619362597,-0.541190619362597,-4.930847865303667,-4.630186410102222,23.872519542994585
