date,open,high,low,close,volume
20251201,6880,7085,6480,6690,561593
20251202,6590,7150,6530,7100,611259
20251203,7240,7340,6820,6960,481239
20251204,6940,7120,6690,6980,470949
20251205,7050,7050,6720,6920,314962
20251208,6860,7220,6670,6880,502297
20251209,6880,7120,6790,6940,365447
20251210,6960,7140,6800,6880,490011
20251211,6900,7370,6890,7180,724433
20251212,7420,7420,6760,6890,637608
20251215,6720,6740,6330,6530,446566
20251216,6530,6550,6300,6360,312160
20251217,6330,6450,6200,6280,216514
20251218,6190,6340,6040,6040,224412
20251219,6140,6730,6090,6590,432574
20251222,6670,6880,6420,6600,340998
20251223,6680,6770,6430,6540,173448
20251224,6500,6600,6330,6410,164479
20251226,6360,6550,6210,6480,291494
20251229,6600,6690,6230,6600,170535
20251230,6600,6730,6450,6680,288566
20260102,6700,7060,6550,6680,406236
20260105,6680,6960,6480,6910,363871
20260106,6980,7080,6350,6460,608410
20260107,6470,6800,6310,6800,332834
20260108,6830,7070,6710,7040,525661
20260109,7070,7100,6620,6880,400294
20260112,6880,6920,6640,6680,306164
20260113,6720,6910,6500,6520,255857
20260114,6520,6650,6390,6550,194565
20260115,6650,6650,6350,6530,136716
20260116,6420,6500,6150,6340,356769
20260119,6400,6400,6020,6120,347919
20260120,6110,6240,5990,6130,223054
20260121,6130,6130,5480,5580,595879
20260122,5690,5750,5430,5730,298178
20260123,5700,5960,5630,5910,268240
20260126,5980,6370,5860,6270,440847
20260127,6300,6700,6110,6610,558268
20260128,6700,6910,6490,6790,545246
20260129,6790,7290,6650,7280,730563
20260130,7280,7450,6870,7190,631192
20260202,6850,7980,6850,7700,1497586
20260203,7850,7850,6520,6560,1789855
20260204,6550,6550,6040,6230,809553
20260205,6230,6230,5780,5870,561914
20260206,5600,5950,5500,5650,350493
20260209,5800,6130,5750,6080,290518
20260210,6030,6260,5960,6180,217260
20260211,6240,6290,6020,6100,177153
20260212,6040,6180,5940,6020,161175
20260213,5950,5980,5770,5860,184698
20260219,5860,6050,5750,6050,184559
20260220,6040,6050,5750,5750,211326
20260223,5830,5960,5610,5820,211354
20260224,5800,5930,5740,5810,159329
20260225,5860,5880,5700,5740,158898
20260226,5720,5750,5520,5550,247469
20260227,5470,5800,5450,5510,195419
20260303,5430,5680,5300,5370,203442
20260304,5310,5310,4510,4700,440853
20260305,4780,5310,4780,5210,175697
