date,open,high,low,close,volume
20251201,2240,2240,2050,2060,353057
20251202,2060,2165,2045,2145,199974
20251203,2130,2165,2080,2155,103645
20251204,2150,2185,2105,2155,131721
20251205,2150,2175,2090,2140,89997
20251208,2120,2140,2070,2075,129177
20251209,2075,2150,2070,2110,97430
20251210,2130,2130,2065,2100,53816
20251211,2115,2165,2095,2105,132984
20251212,2105,2110,2030,2050,161939
20251215,2040,2095,2020,2025,132569
20251216,2040,2040,1956,1985,151702
20251217,1985,2015,1965,2015,57529
20251218,2045,2050,1995,2045,70626
20251219,2045,2060,1985,2010,38574
20251222,2020,2050,2000,2010,51241
20251223,2030,2030,1888,1900,89192
20251224,1900,1900,1707,1811,431730
20251226,1811,1815,1761,1780,65441
20251229,1796,1814,1768,1812,60253
20251230,1830,1830,1760,1761,83636
20260102,1779,1830,1775,1780,113817
20260105,1780,1810,1740,1770,142672
20260106,1785,2300,1770,1966,6800383
20260107,1937,2070,1890,1972,1374686
20260108,1991,1991,1880,1923,325448
20260109,1940,2095,1935,2030,447578
20260112,2030,2090,1990,2050,242448
20260113,2050,2055,1940,2050,198752
20260114,2030,2090,1982,2010,170629
20260115,2030,2030,1922,1962,160959
20260116,1982,2040,1929,1990,102288
20260119,2070,2130,1993,2080,347627
20260120,2090,2150,2040,2110,324264
20260121,2090,2090,1990,2060,159770
20260122,2060,2070,2020,2040,68264
20260123,2040,2210,2035,2205,348468
20260126,2230,2285,2140,2215,349152
20260127,2215,2310,2200,2275,314681
20260128,2280,2320,2230,2265,233322
20260129,2265,2405,2265,2355,364309
20260130,2345,2380,2165,2370,196804
20260202,2370,2670,2295,2435,631510
20260203,2485,2485,2340,2440,245465
20260204,2415,2490,2350,2445,137489
20260205,2445,2445,2325,2385,87191
20260206,2410,2410,2175,2315,379870
20260209,2295,2370,2245,2260,118351
20260210,2270,2405,2270,2385,170301
20260211,2385,2445,2360,2385,156130
20260212,2365,2385,2295,2345,113263
20260213,2345,2415,2150,2405,196072
20260219,2405,2420,2270,2360,189116
20260220,2360,2360,2280,2335,128745
20260223,2335,2390,2280,2335,123248
20260224,2335,2360,2280,2340,113687
20260225,2340,2355,2250,2295,220534
20260226,2290,2310,2230,2230,114924
20260227,2230,2375,2195,2350,267630
20260303,2320,3030,2225,3030,2433658
20260304,3120,3125,2125,2190,2037698
20260305,2360,2595,2075,2105,1956802
