date,open,high,low,close,volume
2025-06-26,79.84,80.25,78.37,78.83,13760100
2025-06-27,79.06,79.54,78.14,79.1,60202500
2025-06-30,79.25,79.39,78.38,79.16,13895200
2025-07-01,78.96,83.07,78.6,81.81,21800800
2025-07-02,82.06,82.81,81.89,82.39,16052700
2025-07-03,82.55,82.6,80.7,80.93,7734500
2025-07-07,80.95,81.54,80.15,80.9,15777400
2025-07-08,80.94,82.38,80.34,81.37,12752900
2025-07-09,82.38,84.48,81.89,83.71,18394600
2025-07-10,83.64,85,83.17,84.02,14725600
2025-07-11,84.02,84.13,82.26,83.36,9717400
2025-07-14,83.43,84.3,83.11,83.67,10368700
2025-07-15,83.78,84.36,81.3,81.52,10827000
2025-07-16,81.46,82.64,81.46,82.43,11517800
2025-07-17,81.98,82.66,81.34,81.52,8984800
2025-07-18,81.7,81.92,79.86,79.96,11823600
2025-07-21,80.16,80.31,78.95,79.31,11620800
2025-07-22,79.87,81.77,79.87,81.61,10571000
2025-07-23,82.62,84.14,82.41,83.98,11542100
2025-07-24,84.2,84.51,83.52,84.11,8016700
2025-07-25,84.16,85.22,83.84,84.71,10058800
2025-07-28,84.47,84.97,83.87,84.06,12882000
2025-07-29,79.85,82.89,76.66,82.63,27826400
2025-07-30,82.91,83.58,81.52,81.75,13055200
2025-07-31,80.8,81.49,77.85,78.12,19813300
2025-08-01,78.02,79.87,77.53,79.29,11900300
2025-08-04,79.06,79.99,78.43,79.86,13380700
2025-08-05,79.9,81.13,79.57,80.79,9984300
2025-08-06,80.29,81.32,79.27,79.44,13028700
2025-08-07,79.65,80.82,78.65,80.37,10830100
2025-08-08,80.11,81.17,80.11,80.69,6882900
2025-08-11,80.96,81.64,79.63,80.03,8210700
2025-08-12,80.47,80.94,79.67,80.3,7852700
2025-08-13,80.75,82.84,80.2,82.71,11043800
2025-08-14,82.01,83.4,81.6,82.76,10217600
2025-08-15,83.72,84.74,83.36,84.21,10481400
2025-08-18,84.26,85.15,84.08,84.22,8273600
2025-08-19,84.38,85.8,84.38,84.93,14307700
2025-08-20,85.31,86.25,84.55,84.66,8904700
2025-08-21,84.88,87.32,84.6,86.08,13889000
2025-08-22,87.5,87.84,86.76,87.37,11977400
2025-08-25,87.21,87.39,84.95,85.31,9417700
2025-08-26,85.56,85.59,84.67,84.99,14062700
2025-08-27,85.07,85.48,83.88,84.07,10588100
2025-08-28,84.25,84.25,82.65,83.21,14485300
2025-08-29,83.42,84.24,83.28,84.12,10872900
2025-09-02,84.5,85.5,84.34,85.48,11642700
2025-09-03,85.37,85.81,84.07,84.18,12714400
2025-09-04,84.2,84.41,83,84.05,12554800
2025-09-05,83.79,85.27,83.25,84.71,13231100
2025-09-08,84.16,84.32,82.82,84.09,13111200
