date,open,high,low,close,volume
20251201,58900,60800,58700,58900,482889
20251202,60000,60400,58700,59500,292098
20251203,58800,59400,55000,55600,435950
20251204,55000,56000,54500,55100,178243
20251205,55300,56000,54500,55300,140487
20251208,55400,55600,54500,55200,152170
20251209,56700,56800,55200,56100,192806
20251210,56500,56900,55900,56700,136464
20251211,57000,60000,57000,59800,429724
20251212,60000,60000,55300,56700,346680
20251215,56700,57000,55500,56300,101116
20251216,56300,58500,56100,57900,267184
20251217,57800,60000,57700,59000,304138
20251218,58600,59100,57800,58100,107133
20251219,58400,58600,56800,57700,382152
20251222,57800,57900,55800,56100,161767
20251223,55900,56300,54000,54200,219739
20251224,54300,54700,53300,53500,116091
20251226,54100,54200,52900,53100,127899
20251229,53800,54900,53100,54600,111976
20251230,54100,55000,53000,54500,69646
20260102,56100,59800,55900,58600,340006
20260105,58600,58600,55700,56600,254700
20260106,57600,58100,56300,57300,261140
20260107,56500,57800,54500,55500,213387
20260108,55300,56000,54900,56000,177661
20260109,56800,59400,56400,58100,347243
20260112,58200,58900,56500,58700,161772
20260113,58400,59400,56900,57400,162403
20260114,57800,58900,57100,58100,117912
20260115,58300,58700,57100,58400,111895
20260116,59000,62800,58400,59700,440049
20260119,59000,59700,57500,57900,181911
20260120,58100,59400,57600,58800,157241
20260121,57000,59200,57000,58400,212409
20260122,57700,61900,57000,59200,395029
20260123,60000,62800,59000,62800,457794
20260126,63600,65000,61600,64900,871638
20260127,64400,66900,62900,63900,700235
20260128,64800,68000,64800,67900,718826
20260129,72000,77600,70500,75600,1463068
20260130,76100,77500,74000,74300,682176
20260202,73000,76200,71600,72700,408310
20260203,75500,76400,72800,74600,347357
20260204,74200,76700,72800,74600,436715
20260205,73000,73000,68300,69100,625710
20260206,65500,68200,64500,66600,274440
20260209,67400,69200,66200,67800,227051
20260210,68500,69500,65600,66500,329743
20260211,68900,70100,67000,67600,341763
20260212,68300,68800,65300,66000,522764
20260213,66500,66900,61800,63400,449397
20260219,65800,71200,65600,70400,712028
20260220,71000,72200,68600,69500,272394
20260223,69600,70200,67300,68800,284441
20260224,68500,69100,67000,67400,208929
20260225,60000,60600,59500,59900,8260171
20260226,60400,60400,58350,58900,1120949
20260227,59100,59200,57500,58400,558071
20260303,58000,59500,55800,55900,590770
20260304,53700,55500,49000,49250,949217
20260305,52600,56200,51500,54900,950699
