date,open,high,low,close,volume
20251201,78700,79400,74100,78600,165169
20251202,79300,80500,77600,79100,178285
20251203,79300,80900,78300,80000,122907
20251204,82000,85600,81900,83000,182958
20251205,83000,85000,80200,84800,203976
20251208,84800,86600,77000,77500,244710
20251209,77700,78500,75100,75800,142018
20251210,75500,77000,70600,75800,109640
20251211,77100,78400,73900,74300,184355
20251212,74000,75200,71300,71400,208600
20251215,72000,76800,71700,76300,219769
20251216,75200,98800,67700,97000,1657767
20251217,110800,118400,82000,88300,1568177
20251218,86900,93300,85000,88700,479561
20251219,88800,93300,86000,89400,459857
20251222,91100,91100,85700,86000,398687
20251223,86300,86600,80800,81200,481390
20251224,80500,81200,77500,78700,364647
20251226,79000,84200,78600,82000,400825
20251229,89700,93400,87700,92100,446994
20251230,91200,91700,89900,90100,172356
20260102,90600,99300,90600,98000,245196
20260105,97000,103600,93500,102500,288207
20260106,101500,107800,101100,103300,149729
20260107,101800,102800,98700,99600,152257
20260108,99300,99700,94900,95700,174002
20260109,95700,96700,92000,92900,131591
20260112,93000,93400,90700,91500,114417
20260113,91700,94900,90000,92100,154555
20260114,92000,94200,89900,90900,114456
20260115,91200,93100,88900,89600,115438
20260116,88000,90500,85300,89000,257033
20260119,88600,91400,88200,91000,109561
20260120,94600,98900,94100,96300,260086
20260121,94000,101000,90000,100700,415066
20260122,98600,109800,98400,108300,279522
20260123,109500,118800,108500,118100,418565
20260126,122100,153400,121000,153000,908508
20260127,144800,158500,142100,154000,541058
20260128,156300,170000,155000,168700,631203
20260129,172400,179700,157700,172700,539741
20260130,171000,179900,167700,172400,330580
20260202,165000,170600,157300,157900,356410
20260203,165000,169900,152600,156900,304577
20260204,155700,162600,151200,153700,196191
20260205,151000,155500,148200,148800,153805
20260206,141000,143400,133900,139000,262872
20260209,145100,148500,141000,147400,145282
20260210,152600,157000,148500,151700,138625
20260211,157000,158600,144000,144800,159805
20260212,142000,151800,140500,148900,124130
20260213,146000,148100,143700,145300,96194
20260219,146900,152400,143500,149000,233102
20260220,148000,149900,140800,141100,160822
20260223,138100,139700,133800,134900,186136
20260224,137400,140600,131400,132700,117738
20260225,132900,132900,127100,130000,136644
20260226,130000,138900,126000,133300,209639
20260227,131500,143900,131500,141500,201222
20260303,135000,144400,132600,132600,193874
20260304,132100,132500,115000,115700,316038
20260305,126600,136000,122600,128600,262366
