date,open,high,low,close,volume
20251201,52400,52800,51200,51200,22525
20251202,51400,52200,51000,51700,36062
20251203,51700,52400,51200,51800,12985
20251204,51000,51800,50500,51300,16687
20251205,50800,51300,50500,51000,26004
20251208,51100,51300,49850,50200,20829
20251209,50400,50500,49700,49850,20390
20251210,49950,49950,49150,49150,24572
20251211,49600,50400,48850,49750,221380
20251212,50100,51000,48550,49150,157461
20251215,49150,49900,48400,48500,79305
20251216,48550,48650,46500,46550,99600
20251217,46700,47000,45900,46200,39928
20251218,45750,45900,45000,45100,38189
20251219,45450,46100,44750,46100,69502
20251222,46150,46700,45500,46550,35179
20251223,46550,46900,45400,45500,46498
20251224,45700,45800,45000,45100,36549
20251226,45200,45200,43700,43700,56374
20251229,43700,44050,43100,43950,40240
20251230,45100,47150,44950,46200,93655
20260102,46300,49300,45950,48000,85878
20260105,48300,48500,47200,47950,49198
20260106,48600,48850,47650,48150,23027
20260107,48000,48100,47000,47700,30543
20260108,47200,47950,46000,46500,25748
20260109,46400,46850,45600,45850,25014
20260112,46000,47850,45750,47300,30908
20260113,47300,47300,46350,46800,24401
20260114,46800,47350,46450,46900,20597
20260115,46850,46850,46000,46800,33427
20260116,46500,47250,46050,46200,24704
20260119,46300,47050,45550,46650,27515
20260120,46150,47400,46150,46750,32527
20260121,46700,46700,44600,45900,68628
20260122,45950,47150,45850,47100,33454
20260123,47100,48000,46400,47950,39930
20260126,47550,48700,47350,48700,46674
20260127,48600,49200,48200,48900,42024
20260128,49050,49400,48500,48900,37371
20260129,48750,49150,47700,49150,43834
20260130,49250,49300,47900,48100,45547
20260202,48000,48000,45850,46100,43283
20260203,47800,48650,46850,48200,71415
20260204,48000,48450,47150,48350,37065
20260205,48350,49800,46300,48550,66339
20260206,48100,48600,46450,48100,46433
20260209,49800,49800,48350,49000,37764
20260210,49000,50600,48500,49900,40879
20260211,49800,50300,49500,49750,23963
20260212,49750,50200,49250,49900,32359
20260213,49750,49750,48600,49400,61636
20260219,49700,50800,48950,50500,45763
20260220,50300,50500,49700,49800,25112
20260223,51900,53800,51600,52500,76656
20260224,52000,52000,51100,51700,40293
20260225,51700,52500,51200,51200,24863
20260226,51300,51800,50500,50500,34922
20260227,50400,50800,49750,50500,28545
20260303,49050,50300,48700,48700,33206
20260304,47100,47950,43350,44100,92097
20260305,47750,51800,47650,50400,123076
