date,open,high,low,close,volume
20251212,23950,26800,17560,17630,21087342
20251215,16300,18250,15700,17060,3008491
20251216,16830,21600,16700,20250,14169196
20251217,20800,25450,18800,24550,23954546
20251218,24300,27150,20900,21700,10899975
20251219,22000,22700,19500,19850,3236908
20251222,19820,20750,18350,18540,1795567
20251223,18500,20450,17090,18140,4424652
20251224,18030,19730,18000,18630,2826032
20251226,18630,19000,16210,16210,1386138
20251229,15390,15900,15080,15130,1055638
20251230,15260,17130,15160,15590,2504068
20260102,15560,16100,14250,14500,844859
20260105,14210,15630,14210,14990,742487
20260106,15060,15430,14400,14610,824314
20260107,14730,16400,14610,15300,1789130
20260108,15500,15850,14400,14610,631491
20260109,14610,14730,13560,13560,429125
20260112,13230,14070,12460,13460,1204268
20260113,13610,14350,13250,13330,584414
20260114,13470,13800,12840,13080,364124
20260115,13150,13570,13010,13210,239213
20260116,13150,13880,12670,13000,722641
20260119,13000,13360,12650,12710,317657
20260120,12870,15140,12800,14100,2144669
20260121,13890,14080,12800,12900,556112
20260122,13300,15400,12900,15150,1783034
20260123,15150,16590,14700,15280,1069451
20260126,15400,15600,14780,15050,408378
20260127,14800,15150,14320,14760,407741
20260128,14740,15430,14320,14950,612893
20260129,14950,15240,14230,14370,409126
20260130,14270,14280,13380,13480,424695
20260202,13400,16750,13200,15000,4651749
20260203,15390,18670,15380,17700,8505510
20260204,17570,17790,16630,17150,1104407
20260205,17160,20300,16300,18530,5900917
20260206,17870,18100,16280,16520,1192411
20260209,16810,17250,15980,16200,679902
20260210,16240,18430,16240,17850,2932046
20260211,17900,20100,17890,19390,2738639
20260212,19000,19750,18650,19100,726574
20260213,19270,20150,18380,18420,891472
20260219,18500,19290,17690,18360,487016
20260220,18550,19180,17480,17650,570068
20260223,18050,18050,16800,17300,502223
20260224,17510,19240,17420,18920,1599223
20260225,19620,20850,18580,18670,1618110
20260226,19000,19000,17940,18040,358551
20260227,18200,20300,17770,18920,1583924
20260303,18100,19020,17050,17140,447574
20260304,16580,16820,13970,14110,493012
20260305,15500,16300,15400,15900,290500
