date,open,high,low,close,volume
20251201,15950,16230,15800,16010,127863
20251202,16400,16620,16110,16500,150926
20251203,16150,16260,15850,15920,127234
20251204,16000,16000,15550,15590,96414
20251205,15600,15920,15450,15770,75866
20251208,15980,16060,15680,16060,96744
20251209,16050,16210,15800,16130,62127
20251210,16010,16100,15890,16000,40871
20251211,16050,16100,15810,15920,57271
20251212,15920,16050,15540,15700,157985
20251215,15490,15820,15260,15260,172528
20251216,15350,15370,14800,14850,170893
20251217,15000,15030,14760,14900,54614
20251218,14840,14900,14580,14610,54370
20251219,14740,14750,14460,14710,45719
20251222,14820,15030,14720,14920,39538
20251223,15040,15080,14850,14920,42064
20251224,14930,14950,14570,14570,81264
20251226,14630,15200,14400,14400,52560
20251229,14450,15480,14450,15480,124747
20251230,15400,16350,15170,16040,224702
20260102,16190,17150,16190,16810,176099
20260105,17130,17340,16500,17230,183182
20260106,17500,17840,17050,17400,160859
20260107,17250,17400,17020,17400,111595
20260108,17360,17360,16090,16570,194314
20260109,16410,16800,16280,16640,84095
20260112,17330,18350,17100,18000,341796
20260113,18080,18100,17220,17270,163142
20260114,17600,17750,17110,17350,99649
20260115,17330,17800,17160,17480,117164
20260116,17340,17430,17000,17260,115698
20260119,17140,17140,16540,16960,132893
20260120,16900,17400,16810,17040,102229
20260121,16710,16850,16330,16590,172118
20260122,16740,17880,16710,17740,228725
20260123,17700,18750,17440,18680,294009
20260126,22250,22250,19190,20400,1183440
20260127,19850,21100,19170,20900,533296
20260128,20600,21250,19450,19990,719232
20260129,19190,19830,18700,19170,388029
20260130,17280,17640,16040,16600,811150
20260202,16950,17010,16090,16230,235934
20260203,16730,17020,16300,16890,162106
20260204,16700,17090,16650,16820,116013
20260205,16880,16880,16200,16250,164668
20260206,15920,16000,15000,15580,125523
20260209,16050,16440,15980,16390,103816
20260210,16390,16620,16280,16280,78143
20260211,16500,16540,16260,16290,90963
20260212,16500,16500,16090,16340,61094
20260213,16160,16200,15960,16190,66420
20260219,16200,16740,16140,16670,110796
20260220,16670,16690,16270,16340,93689
20260223,16300,16380,15950,15980,171772
20260224,16000,16210,15970,16120,64089
20260225,16120,16120,15910,15950,112644
20260226,15950,15960,15650,15710,116790
20260227,15560,15650,15410,15510,86727
20260303,15150,18360,14810,15690,402713
20260304,14970,15090,13750,13880,263502
20260305,14790,15480,14550,15250,132363
