date,open,high,low,close,volume
20251201,40300,40350,38750,38800,276876
20251202,39200,39250,38400,39050,112859
20251203,39650,39650,38850,39200,104095
20251204,39050,40700,38750,39200,230696
20251205,39300,39800,38500,39250,160605
20251208,38000,39000,37000,37900,241926
20251209,37600,37750,37150,37500,110929
20251210,37600,37650,36550,37100,168076
20251211,37600,37700,36850,37550,166490
20251212,37450,39000,36800,38800,310481
20251215,37750,39650,37300,39600,227166
20251216,39250,40600,38400,38650,357863
20251217,39050,39200,37050,37300,224222
20251218,37200,38050,36300,36850,151203
20251219,37150,41550,36500,40500,653403
20251222,42450,45500,42000,43850,985665
20251223,43000,43400,40950,43150,486424
20251224,42750,44850,41300,44500,454243
20251226,45100,45550,40800,42450,443209
20251229,41950,41950,40600,40850,248746
20251230,41300,42100,40400,41100,209650
20260102,41250,45350,41250,43950,454758
20260105,43900,43900,42200,43500,272940
20260106,43100,45400,42500,45000,356182
20260107,39700,39700,37250,38650,1054257
20260108,39250,40500,38300,40000,574958
20260109,39700,40550,38800,39150,288855
20260112,39500,39850,38050,38500,320000
20260113,39000,39650,38450,38600,218897
20260114,38500,38600,38000,38150,160223
20260115,38250,38750,37850,38750,142698
20260116,38650,39300,38250,38900,283396
20260119,39100,39750,38600,39050,252118
20260120,39450,39900,38700,39050,277620
20260121,38000,38400,37250,37700,320540
20260122,37650,38150,37300,37800,245564
20260123,37850,39400,37450,39300,383565
20260126,39550,43000,39350,42100,856042
20260127,41450,44500,40950,44200,641488
20260128,44150,47500,44000,46900,785881
20260129,47500,49350,45700,49050,790758
20260130,48600,49800,38950,40200,1413756
20260202,37000,40550,36700,39400,1152304
20260203,40200,40800,37850,40750,698921
20260204,40300,41300,39550,40400,330922
20260205,40850,42750,40200,41900,606101
20260206,41300,42250,39450,40250,343829
20260209,40600,43450,40250,43300,367458
20260210,42850,43600,41200,42200,213420
20260211,42650,42700,41400,41450,147369
20260212,41350,41650,40850,41400,113602
20260213,41050,41550,40400,41000,135648
20260219,41250,42850,41000,42450,287798
20260220,42800,43550,42200,43100,176585
20260223,44000,44250,42200,42600,219636
20260224,42650,43500,41850,42400,153044
20260225,42500,42600,40750,40900,212680
20260226,41500,41550,40400,40700,171654
20260227,40000,41300,39650,40700,190481
20260303,40000,41500,38550,38700,310274
20260304,37400,38000,32750,33200,535170
20260305,35600,37550,35150,36100,340752
