date,open,high,low,close,volume
20251201,79900,81500,78500,79300,185392
20251202,80000,80300,79400,80000,154646
20251203,80000,82400,79800,81400,249951
20251204,81000,81500,80300,81500,230133
20251205,83200,86200,83000,85600,490319
20251208,85100,85100,82900,83300,213404
20251209,83500,83700,82500,83300,224855
20251210,83700,83800,82100,82500,144504
20251211,83300,83300,81600,81700,329912
20251212,82400,84300,82300,84000,343974
20251215,82600,84500,82100,83500,315324
20251216,84000,86500,83400,84600,1200824
20251217,85400,85400,83300,83900,233563
20251218,82500,82800,81000,81000,177145
20251219,82200,82800,80600,81700,195432
20251222,82400,82800,81800,82800,146480
20251223,83100,83700,82000,82300,102286
20251224,82700,83100,82200,82800,86725
20251226,82800,82800,81500,81500,90549
20251229,80300,81500,79000,81500,113143
20251230,79900,81200,79800,80700,152542
20260102,81100,81200,80200,81000,128437
20260105,81300,82700,81000,81500,172391
20260106,82000,84300,82000,84300,275108
20260107,83200,83900,81500,82200,261237
20260108,81600,82100,80400,81400,407272
20260109,81300,81700,79500,80300,197295
20260112,80500,80500,78600,80000,205910
20260113,80400,81200,79800,81200,219309
20260114,81500,83600,80800,82900,253087
20260115,83000,85000,82800,84800,284458
20260116,87700,92400,84100,87500,958212
20260119,86700,89400,85800,89000,334512
20260120,89700,90400,87200,89200,261248
20260121,87900,88400,86900,87900,219189
20260122,88500,90800,88400,88700,291679
20260123,89000,94600,88800,93300,581939
20260126,93700,94000,89200,89600,365954
20260127,90000,91600,88700,91100,229716
20260128,91700,92800,90500,91400,292823
20260129,91300,93300,88100,92400,500167
20260130,91700,92900,90000,91700,545987
20260202,91000,91000,87400,87900,381943
20260203,90400,91500,89700,91500,267336
20260204,91400,93800,90800,93500,344998
20260205,93500,95100,92000,92800,314054
20260206,90300,90600,88100,89700,344839
20260209,92200,93300,90600,91600,335634
20260210,92500,94300,91400,92900,250517
20260211,93900,99800,93300,98300,749002
20260212,98900,99000,95000,96200,437684
20260213,95400,96800,93300,95700,301623
20260219,98000,98200,95800,95800,266090
20260220,95900,98500,95900,98500,285179
20260223,100000,101600,98500,99500,530374
20260224,99600,100400,97600,100000,312987
20260225,99900,101400,99000,99900,521653
20260226,100400,104200,100300,103400,816768
20260227,103300,107700,102000,107700,991696
20260303,107700,107800,100300,102500,684949
20260304,99200,99400,89300,91300,854623
20260305,96800,98600,93900,96800,526142
