date,open,high,low,close,volume
20251201,1629000,1662000,1623000,1649000,54392
20251202,1662000,1663000,1645000,1654000,33670
20251203,1659000,1694000,1650000,1654000,44310
20251204,1677000,1693000,1650000,1680000,34738
20251205,1667000,1677500,1640000,1641000,54357
20251208,1650000,1651000,1623000,1629000,36652
20251209,1639000,1664000,1628000,1660000,44895
20251210,1657000,1674000,1637000,1665000,34891
20251211,1666000,1693000,1661000,1669000,60950
20251212,1679000,1698000,1668000,1692000,44882
20251215,1680000,1830000,1671000,1772000,107019
20251216,1815000,1820000,1771000,1790000,54125
20251217,1790000,1790000,1740000,1750000,40730
20251218,1750000,1793500,1728000,1738000,38712
20251219,1765000,1770000,1697000,1733000,45677
20251222,1785000,1785000,1711000,1724000,42564
20251223,1731000,1745000,1714000,1720000,36146
20251224,1717000,1720000,1685000,1691000,36975
20251226,1691000,1693000,1676000,1692000,27002
20251229,1683000,1710000,1680000,1706000,25923
20251230,1700000,1703000,1692000,1695000,26967
20260102,1695000,1709000,1679000,1683000,46684
20260105,1673000,1724000,1671000,1713000,51390
20260106,1720000,1735000,1710000,1721000,36813
20260107,1736000,1789000,1730000,1767000,61546
20260108,1767000,1900000,1766000,1885000,128454
20260109,1875000,1879000,1834000,1878000,70385
20260112,1899000,1915000,1845000,1859000,68736
20260113,1885000,1944000,1881000,1908000,77125
20260114,1924000,1948000,1912000,1927000,86681
20260115,1930000,1987000,1921000,1965000,70485
20260116,1980000,1981000,1895000,1947000,68134
20260119,1927000,1940000,1900000,1921000,44904
20260120,1922000,1942000,1912000,1920000,42737
20260121,1909000,1909000,1870000,1873000,59612
20260122,1874000,1888000,1778000,1778000,182684
20260123,1794000,1808000,1790000,1802000,62438
20260126,1805000,1819000,1793000,1807000,72980
20260127,1808000,1809000,1790000,1790000,74402
20260128,1802000,1814000,1785000,1791000,59883
20260129,1796000,1798000,1765000,1776000,67355
20260130,1781000,1782000,1745000,1745000,63642
20260202,1745000,1763000,1705000,1711000,67005
20260203,1717000,1756000,1712000,1749000,50120
20260204,1755000,1778000,1745000,1759000,55355
20260205,1792000,1795000,1700000,1700000,59550
20260206,1688000,1688000,1637000,1668000,57738
20260209,1704000,1717000,1676000,1694000,57218
20260210,1705000,1740000,1691000,1710000,46371
20260211,1732000,1743000,1710000,1712000,31291
20260212,1727000,1728000,1707000,1719000,39569
20260213,1710000,1715000,1702000,1710000,30115
20260219,1712000,1753000,1712000,1720000,40847
20260220,1729000,1739000,1727000,1736000,32604
20260223,1741000,1757000,1713000,1717000,67316
20260224,1747000,1747000,1719000,1723000,47116
20260225,1723000,1732000,1715000,1728000,45641
20260226,1728000,1775000,1728000,1766000,88413
20260227,1760000,1778000,1741000,1778000,97725
20260303,1775000,1775000,1679000,1681000,81261
20260304,1639000,1650000,1501000,1516000,83414
20260305,1626000,1669000,1588000,1647000,70172
