date,open,high,low,close,volume
20251201,16950,17650,16950,17220,47829
20251202,17170,17440,17000,17430,17089
20251203,17390,17500,17180,17200,13831
20251204,17300,17390,16980,17110,12973
20251205,17460,17460,16990,17210,9044
20251208,17210,17210,16920,16960,16964
20251209,17190,17190,16730,17100,8542
20251210,17100,17100,16820,16880,18957
20251211,16890,17150,16890,17100,24740
20251212,17200,17250,16980,17150,12653
20251215,17150,17150,16800,17050,9759
20251216,17050,17300,16740,16900,26473
20251217,16900,16950,16730,16900,16350
20251218,16900,16900,16590,16670,11280
20251219,16530,16800,16480,16800,31107
20251222,16880,16880,16640,16640,16906
20251223,16820,16820,16340,16500,21517
20251224,16500,16620,16300,16370,11480
20251226,16500,16870,16400,16640,20057
20251229,16640,17150,16610,16900,27181
20251230,17150,17150,16770,16890,9164
20260102,16720,17060,16660,16840,22929
20260105,16750,16750,16290,16450,31142
20260106,16500,16500,16170,16300,23152
20260107,16350,16410,15770,16110,33806
20260108,16110,16170,15870,16120,14966
20260109,16120,16150,15860,16090,22664
20260112,16150,16190,15910,16090,7808
20260113,16400,16400,15830,16030,19534
20260114,16030,16200,15800,16000,17956
20260115,16120,16120,15700,15970,25582
20260116,15940,15940,15740,15910,14904
20260119,15900,15900,15700,15810,17491
20260120,15750,16020,15700,15940,22628
20260121,15800,15830,15360,15830,59282
20260122,15830,15840,15570,15830,18874
20260123,15800,16100,15700,16100,26846
20260126,16200,16380,16020,16260,21306
20260127,16260,16360,16110,16280,30639
20260128,16220,16350,15930,15930,29731
20260129,15940,16040,15350,15970,27841
20260130,15950,15980,15810,15860,19386
20260202,15860,15870,15300,15790,48576
20260203,15900,16040,15700,16000,27779
20260204,15950,16490,15900,16490,46644
20260205,16690,17650,16570,17500,163765
20260206,17500,18380,17230,18100,132211
20260209,18300,18400,17850,18400,64938
20260210,18410,19390,18400,19300,102394
20260211,19220,19400,18400,18950,70763
20260212,18850,19050,18170,18500,86808
20260213,17850,17900,17010,17900,97680
20260219,18010,18300,17810,18300,46252
20260220,18420,18530,17980,18180,55414
20260223,18180,19170,17420,18280,341860
20260224,18370,18590,17980,18360,96219
20260225,18200,18270,17500,17900,77931
20260226,17790,17790,17290,17290,49811
20260227,17610,18130,17540,17840,101797
20260303,17680,17680,17020,17160,40099
20260304,16660,16890,15510,16000,53161
20260305,16900,17170,16510,17000,94794
