date,open,high,low,close,volume
20251201,65000,65000,59600,60600,525006
20251202,60600,61900,58900,61000,667126
20251203,63300,63800,60100,61300,438034
20251204,60200,62800,59800,61300,429512
20251205,60500,60700,55100,56900,838318
20251208,57600,57900,51200,53300,1198598
20251209,54100,56600,52900,55300,366867
20251210,56800,60500,56500,59600,556362
20251211,60300,61600,58600,59900,474586
20251212,60600,61100,58900,60100,429005
20251215,59500,63100,58700,61300,504863
20251216,66000,66000,53900,54300,3438535
20251217,56000,56200,51300,51600,956985
20251218,50300,53300,49950,50400,740957
20251219,50700,51500,48550,49050,1087146
20251222,48900,49050,45600,46500,1321762
20251223,46500,46500,43250,43900,978137
20251224,44400,44850,43700,44200,535508
20251226,44450,44750,43200,43600,472515
20251229,43250,45300,42700,45300,521804
20251230,45300,45500,44500,45200,250452
20260102,45550,45550,43100,43300,376748
20260105,43300,45500,43000,45150,412986
20260106,45000,47500,44800,46150,739905
20260107,46200,46550,44950,45600,351044
20260108,46850,47650,45900,47500,472622
20260109,47550,47650,45250,45750,378241
20260112,45800,45800,44150,45150,233618
20260113,44800,45600,43850,43950,308594
20260114,44200,45000,43650,44050,269866
20260115,44200,44350,43100,43850,271751
20260116,43450,44550,42250,43950,430607
20260119,43800,44800,43050,43200,294678
20260120,43200,46200,43050,44500,550066
20260121,43500,45100,43050,43900,684106
20260122,44000,44400,39650,40850,599331
20260123,41100,44000,40900,43950,392595
20260126,44900,49300,44400,49300,1059090
20260127,48600,50200,47950,49250,606941
20260128,49500,52500,49350,52300,663585
20260129,52900,55700,52500,55600,899272
20260130,56400,59200,53000,55600,779462
20260202,52800,55800,50500,51000,513044
20260203,53000,53100,50700,52000,346058
20260204,51700,52500,49900,50500,280807
20260205,50500,51900,49650,50400,337900
20260206,54000,54300,49850,52300,710442
20260209,51800,52000,48750,50300,555211
20260210,49950,52000,49850,50600,227467
20260211,50900,52100,50000,51000,183924
20260212,50500,53400,50500,52000,265275
20260213,51900,51900,49650,50400,278394
20260219,51100,57300,51000,56600,620613
20260220,56200,56500,54100,54300,218339
20260223,54900,55800,53100,54400,180355
20260224,54900,57500,53800,54300,208000
20260225,54800,55000,52900,53300,151576
20260226,49550,51900,49550,51200,510746
20260227,49900,53000,49600,52300,275028
20260303,53100,58500,52400,55700,767430
20260304,54000,54500,46000,46500,559001
20260305,49850,53400,47550,50600,429864
