date,open,high,low,close,volume
2026-01-16,1024.4301,1049.9399,1018,1038.4,3829000
2026-01-20,1028.15,1045.85,1015.96,1041.29,2484900
2026-01-21,1043.86,1081.33,1042.02,1078.52,3685900
2026-01-22,1078.52,1095.48,1071.74,1087.38,2478200
2026-01-23,1083.73,1084.3199,1063.02,1064.29,2592900
2026-01-26,1062.21,1067.08,1043.3199,1062.75,2244900
2026-01-27,1064.11,1073.39,1034.8101,1039.51,2587900
2026-01-28,1029.11,1029.6899,1004.14,1023.8,3300200
2026-01-29,1025.36,1040,1018,1024.14,2293000
2026-01-30,1033.3,1048.5699,1020,1037.15,3303100
2026-02-02,1037.5699,1057.41,1037.5699,1044.13,2757100
2026-02-03,1040.75,1048.8,993.58,1003.46,5483900
2026-02-04,1075.12,1114,1065,1107.12,7119400
2026-02-05,1065.5,1075,1005.83,1020.84,7742400
2026-02-06,1056,1060.02,1033.27,1058.1801,4887100
2026-02-09,1077.09,1106.9399,1042.92,1044.67,3423800
2026-02-10,1050.66,1055.65,1023.88,1025,3539400
2026-02-11,1026.5,1030.1,1012.62,1015.21,2599900
2026-02-12,1024.87,1059.84,1012,1038.27,3592200
2026-02-13,1039.98,1064.34,1033.69,1040,2698728
2026-02-17,1045.61,1067,1034.88,1036.05,2984593
2026-02-18,1032.36,1037.54,1011.31,1020.56,3236905
2026-02-19,1010.82,1025.225,1007,1023.22,2145764
2026-02-20,1023.86,1028.65,1002.46,1009.52,3249409
2026-02-23,1047.02,1064.45,1034,1058.56,4767602
2026-02-24,1042.95,1058.9,1024.08,1042.15,2803100
2026-02-25,1036.58,1053.625,1027,1028.83,2481897
2026-02-26,1024.08,1026.915,1007.38,1022.02,2666432
2026-02-27,1019.17,1053,1017.36,1051.99,4325931
2026-03-02,1044.62,1056.2,1013,1017.97,3094287
2026-03-03,1015,1020.01,995.07,1007.73,2845962
2026-03-04,1011.63,1015.6599,993.66,1003.57,1963826
