date,open,high,low,close,volume
20251201,12610,12960,12580,12660,10146
20251202,12760,13000,12530,12970,10175
20251203,12980,13010,12840,12930,11865
20251204,12930,13020,12810,12940,12741
20251205,13060,13060,12730,12880,9870
20251208,12870,12990,12730,12820,6209
20251209,12990,12990,12650,12690,12255
20251210,12760,13050,12600,12760,14437
20251211,12960,13460,12890,13350,43821
20251212,13660,13990,13100,13320,44796
20251215,13290,13560,13060,13520,24713
20251216,13560,13950,13330,13850,44649
20251217,13860,16670,13160,15190,629009
20251218,14100,15160,13250,13550,312107
20251219,13550,13610,13010,13160,44449
20251222,13110,13290,12920,12990,26146
20251223,13270,13270,12770,12790,27590
20251224,12750,12930,12550,12550,17780
20251226,12470,12990,12390,12410,17908
20251229,14270,14270,13010,13070,152594
20251230,13210,13350,12940,13100,26962
20260102,13070,13360,13065,13240,35563
20260105,13290,13290,12760,12870,61872
20260106,12870,12920,12600,12680,32637
20260107,12660,12660,12400,12450,38628
20260108,12900,13210,12490,13110,71294
20260109,13170,13550,12630,12740,52198
20260112,12850,12860,12460,12500,38995
20260113,12500,13480,12390,13020,77156
20260114,12930,13020,12530,12620,38429
20260115,12800,13570,12800,13130,109270
20260116,13240,13240,12710,12810,54105
20260119,13170,13450,12950,13290,76503
20260120,13470,13690,13050,13200,76562
20260121,13190,13190,12550,12700,67601
20260122,12700,12820,12580,12690,35282
20260123,12750,12940,12580,12830,63382
20260126,12990,13130,12720,13130,50195
20260127,13030,13230,12900,13050,35148
20260128,13230,13280,13000,13110,38759
20260129,13110,13220,12760,13010,45913
20260130,13190,13190,12500,12870,63402
20260202,12770,12770,11950,11950,95906
20260203,12200,12410,11810,12000,81226
20260204,12290,12290,11980,12110,38991
20260205,12160,12160,11880,11880,49267
20260206,11800,11810,11000,11260,97355
20260209,11610,11690,11210,11290,56956
20260210,11280,11650,11210,11570,36069
20260211,11750,11890,11460,11750,26094
20260212,11880,11930,11500,11820,24619
20260213,11820,11880,11570,11620,23879
20260219,11850,11850,11350,11600,39657
20260220,11600,11770,11470,11550,25724
20260223,11550,11940,11550,11830,43482
20260224,11840,11940,11680,11750,32797
20260225,11750,11900,11620,11630,32457
20260226,11650,11700,11020,11040,62263
20260227,11040,11050,10800,10820,41867
20260303,10820,10970,10410,10500,40725
20260304,10110,10490,9120,9460,74601
20260305,10040,10290,9830,10290,49733
