date,open,high,low,close,volume
20251201,96200,97100,93500,94800,216032
20251202,94800,98200,92800,97800,165775
20251203,97000,97100,88800,89500,380837
20251204,89500,91100,85800,90500,193951
20251205,92000,92500,87500,91700,151761
20251208,91700,92900,88500,90000,122968
20251209,89100,94100,89100,92000,160165
20251210,92200,93600,91100,93000,79126
20251211,92800,96000,92200,95500,113789
20251212,96200,100400,95500,98300,165120
20251215,98200,102400,97100,100200,156466
20251216,100600,101300,96000,96100,202425
20251217,95300,96700,92800,94800,185434
20251218,92200,96900,92100,96400,144040
20251219,96200,109000,95600,104000,335710
20251222,104300,104600,98800,100300,221748
20251223,99900,101000,97500,99100,128585
20251224,99100,102000,98200,98800,157702
20251226,98800,102900,96800,101900,206033
20251229,105000,111300,105000,110400,274261
20251230,110600,117600,109900,117000,180920
20260102,117000,123800,117000,119500,123311
20260105,117100,119300,112500,117800,93293
20260106,117900,118500,112300,115000,96696
20260107,114800,114800,111400,112600,74175
20260108,115200,115200,110200,110500,62929
20260109,112000,115800,110100,113700,56865
20260112,113400,113400,104500,106300,140880
20260113,107500,108500,98100,98400,203288
20260114,99200,99500,92400,96700,104317
20260115,99100,99800,94100,98500,96695
20260116,102700,107300,99000,107000,126675
20260119,107900,112600,105000,111300,67591
20260120,111800,121300,110800,117700,105140
20260121,112000,126500,110200,123700,200074
20260122,121300,128100,120100,124000,66778
20260123,125000,129800,122900,124400,67058
20260126,122500,126300,118800,124500,90875
20260127,122700,125200,119300,121400,76967
20260128,119700,122400,116200,119800,93717
20260129,118500,124000,117000,120700,117516
20260130,119500,120900,117000,117900,78013
20260202,119200,126300,115600,116700,141841
20260203,120500,125500,120500,124800,102168
20260204,123200,133000,123200,127800,67784
20260205,128300,132600,125900,127700,73020
20260206,121100,122700,111500,114300,184474
20260209,119900,123100,117000,120200,86687
20260210,120500,121000,115100,115300,53821
20260211,116400,116400,112400,114400,38846
20260212,114500,116600,113100,115600,38959
20260213,114900,114900,110800,112500,51946
20260219,107500,112800,105500,112000,97287
20260220,111100,112000,109000,111100,53597
20260223,108600,109400,104100,106700,112913
20260224,110300,118400,106000,115100,126166
20260225,114800,117900,113000,116600,64467
20260226,117000,121500,113200,118300,88913
20260227,118800,122000,117600,119600,65490
20260303,115000,118300,109500,109500,121349
20260304,100900,104400,89800,89800,194451
20260305,100000,105800,98400,104000,107355
