ticker,name,count_1d,positive_rate_1d,avg_return_1d,count_3d,positive_rate_3d,avg_return_3d,count_5d,positive_rate_5d,avg_return_5d,cluster_1d,cluster_3d,cluster_5d
328130,루닛,5,0.4,-0.028856002581834257,4,0.5,0.0016273160464766769,4,0.75,0.025836875019331962,중,중,중
221800,유투바이오,7,0.14285714285714285,0.0010525736102350006,7,0.42857142857142855,0.002774077883864224,7,0.42857142857142855,0.08979355260120243,중,중,중
048410,현대바이오,9,0.4444444444444444,0.04889451000778072,8,0.5,0.08773455246653397,8,0.5,0.015834468900676787,중,중,중
229000,젠큐릭스,6,0.8333333333333334,0.004213181272176308,5,0.6,-0.05447643689411284,3,0.0,-0.085785536159601,중,중,하
196170,알테오젠,15,0.6,0.010356291615428097,15,0.8666666666666667,0.05108250562609181,15,0.7333333333333333,0.052223773429433386,중,상,중
458870,씨어스테크놀로지,9,0.3333333333333333,-0.010105369947159716,8,0.375,0.008949139776804973,8,0.375,0.008645139950927909,중,중,중
065170,비엘팜텍,7,0.7142857142857143,0.15076615112383987,7,0.7142857142857143,0.2470872932992347,7,0.8571428571428571,0.8618054033961988,중,중,중
308430,셀비온,9,0.1111111111111111,-0.01646447237167008,9,0.8888888888888888,0.12455344719632278,9,0.6666666666666666,0.11741831004965994,중,상,중
009290,광동제약,7,0.2857142857142857,-0.015302917426592427,7,0.0,-0.07609837568948016,7,0.0,-0.12604265018573665,중,하,하
ROG,ROG,5,1.0,0.016678870311004953,5,0.8,0.02747384756968891,5,1.0,0.043184925545600175,상,중,중
028300,코스닥,9,0.5555555555555556,0.01904501340647724,8,0.25,-0.020782433375513484,8,0.5,0.0033322463078683364,중,중,중
397030,에이프릴바이오,6,0.0,-0.029945658431879824,6,0.3333333333333333,-0.029744812638973116,6,0.8333333333333334,0.0123696122171473,하,중,중
078160,메디포스트,7,0.7142857142857143,-0.016876060919735678,6,0.3333333333333333,-0.02104689419753254,6,0.5,-0.014211353970360323,중,중,중
000100,유한양행,6,0.6666666666666666,0.008636202158089917,6,0.8333333333333334,0.005618201620378655,6,0.5,0.0029816170507372002,중,중,중
039200,오스코텍,8,0.625,0.006502694142220217,8,0.375,0.004349962799935464,8,0.5,0.011462775131704971,중,중,중
049180,셀루메드,7,0.2857142857142857,-0.010905188138282198,7,0.5714285714285714,0.15726625249362816,7,0.42857142857142855,0.1459106592140634,중,중,중
318060,그래피,5,0.8,0.01962373826636817,5,0.8,0.20851749734888653,5,0.8,0.29019692863595303,중,중,중
491000,리브스메드,6,0.0,-0.042047592104061955,6,0.0,-0.07599687788621169,6,0.3333333333333333,-0.0178706603519463,하,하,중
